Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS40-5C
Serial Number          ,       M00656991

Date MM-DD-YYYY        ,       10-03-2021
Time HH:MM:SS          ,       12:47:19


*** CAMERA ***
Camera Type            ,       Thorlabs WFS40
Camera SN              ,       4103905502
Resolution X           ,       2048
Resolution Y           ,       2048
Exposure Time [ms]     ,       2.829
Master Gain            ,       1.000
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,       0.263
Beam Center Y [mm]     ,       0.769
Beam Diameter X [mm]   ,       8.368
Beam Diameter Y [mm]   ,       7.866


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       1
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,       0.263
Pupil Center Y [mm]    ,       0.769


*** CENTROIDS [pixels] ***
Centroids X            ,       73
Centroids Y            ,       73
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  886.182,  34.818,  913.125,  34.944,  940.750,  34.619,  967.948,  34.437,  995.332,  34.437, 1022.956,  34.419, 1050.268,  34.436, 1077.696,  34.541, 1105.144,  34.460, 1132.561,  34.317, 1159.904,  34.432, 1187.270,  34.539, 1214.750,  34.750,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  748.600,  60.400,  775.913,  60.478,  803.387,  60.445,  830.826,  60.635,  858.298,  60.638,  885.596,  60.598,  913.197,  60.606,  940.695,  60.590,  968.068,  60.764,  995.561,  60.522, 1022.866,  60.527, 1050.151,  60.491, 1077.450,  60.351, 1104.919,  60.283, 1132.461,  60.380, 1159.796,  60.202, 1187.312,  60.293, 1214.793,  60.373, 1242.227,  60.609, 1269.695,  60.559, 1297.222,  60.407, 1324.250,  61.250,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  693.000,  87.333,  720.977,  87.884,  748.661,  87.930,  776.080,  87.967,  803.469,  87.987,  830.840,  87.966,  858.314,  87.810,  885.552,  87.853,  913.081,  87.803,  940.559,  87.782,  968.102,  87.705,  995.559,  87.711, 1022.889,  87.776, 1050.101,  87.907, 1077.562,  87.870, 1105.053,  87.759, 1132.433,  87.637, 1159.849,  87.695, 1187.409,  87.647, 1214.897,  87.820, 1242.337,  87.847, 1269.803,  87.877, 1297.259,  87.870, 1324.471,  87.765,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  639.000, 115.000,  666.238, 115.238,  693.815, 115.420,  721.305, 115.376,  748.640, 115.491,  776.011, 115.297,  803.468, 115.294,  830.606, 115.032,  858.132, 114.912,  885.521, 114.842,  913.100, 114.997,  940.683, 115.154,  968.127, 115.363,  995.636, 115.449, 1023.013, 115.516, 1050.258, 115.335, 1077.586, 115.148, 1105.030, 115.082, 1132.485, 115.084, 1159.956, 115.364, 1187.414, 115.415, 1214.715, 115.628, 1242.248, 115.487, 1269.772, 115.462, 1297.059, 115.447, 1324.409, 115.527, 1352.077, 115.462, 1379.607, 115.179, 1407.000, 115.357, 1434.346, 115.192, 1461.625, 115.375, 1489.000, 115.000,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  584.000, 143.000,  611.238, 142.524,  638.900, 142.711,  666.324, 142.821,  693.746, 142.849,  721.268, 142.861,  748.635, 142.678,  775.770, 142.488,  803.294, 142.363,  830.629, 142.379,  858.356, 142.687,  885.761, 142.858,  913.215, 142.777,  940.655, 142.456,  967.977, 142.399,  995.527, 142.330, 1022.837, 142.194, 1050.207, 142.338, 1077.661, 142.414, 1105.177, 142.570, 1132.427, 142.669, 1159.883, 142.955, 1187.271, 142.811, 1214.721, 142.996, 1242.333, 142.565, 1269.820, 142.615, 1297.009, 142.721, 1324.441, 142.773, 1352.193, 142.465, 1379.602, 142.757, 1406.855, 142.590, 1434.444, 142.714, 1461.708, 142.583, 1489.177, 142.588,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  557.000, 170.000,  584.019, 170.038,  611.474, 170.195,  638.980, 170.222,  666.372, 170.220,  693.746, 170.136,  721.055, 170.127,  748.423, 169.902,  775.692, 169.886,  803.431, 170.182,  830.742, 170.275,  858.074, 169.999,  885.433, 169.696,  913.014, 169.839,  940.683, 170.451,  967.998, 170.343,  995.509, 169.916, 1022.938, 169.811, 1050.268, 169.622, 1077.703, 169.592, 1104.955, 169.728, 1132.500, 169.822, 1159.756, 169.835, 1187.424, 169.865, 1214.777, 169.850, 1242.374, 169.773, 1269.629, 170.003, 1296.953, 170.063, 1324.339, 170.189, 1351.981, 170.071, 1379.333, 170.218, 1406.879, 170.168, 1434.273, 170.367, 1461.763, 170.171, 1489.333, 170.167,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  528.900, 197.400,  556.456, 197.456,  584.008, 197.566,  611.549, 197.614,  638.890, 197.671,  666.214, 197.486,  693.600, 197.296,  721.029, 197.264,  748.507, 197.370,  775.978, 197.520,  803.300, 197.353,  830.527, 197.205,  858.257, 197.789,  885.476, 197.831,  912.797, 197.349,  940.312, 197.145,  967.902, 197.472,  995.493, 197.772, 1023.133, 197.653, 1050.311, 197.378, 1077.607, 197.244, 1104.921, 197.073, 1132.440, 197.164, 1159.868, 197.276, 1187.371, 197.191, 1214.876, 197.328, 1242.384, 197.256, 1269.668, 197.570, 1296.982, 197.575, 1324.498, 197.539, 1351.794, 197.489, 1379.295, 197.527, 1406.696, 197.640, 1434.251, 197.370, 1461.690, 197.457, 1489.209, 197.343, 1516.333, 197.571, 1544.000, 197.750,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  501.583, 224.708,  529.093, 224.935,  556.500, 225.030,  584.036, 225.012,  611.321, 224.926,  638.709, 224.701,  666.068, 224.573,  693.559, 224.562,  721.168, 224.843,  748.492, 224.711,  775.717, 224.558,  803.426, 224.785,  830.781, 224.933,  858.011, 224.591,  885.487, 224.689,  913.165, 225.250,  940.406, 224.748,  967.871, 224.534,  995.449, 225.003, 1022.953, 225.465, 1050.301, 225.285, 1077.656, 224.871, 1104.887, 224.845, 1132.448, 224.758, 1159.764, 224.725, 1187.492, 224.629, 1214.919, 224.691, 1242.418, 224.743, 1269.727, 224.963, 1297.033, 224.986, 1324.499, 224.978, 1351.806, 224.819, 1379.143, 224.896, 1406.786, 224.823, 1434.138, 224.812, 1461.735, 224.822, 1488.900, 225.067, 1516.484, 224.990, 1543.843, 225.255, 1571.286, 224.857,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  446.500, 252.000,  474.125, 252.300,  501.641, 252.229,  529.181, 252.353,  556.496, 252.502,  583.760, 252.252,  611.046, 252.012,  638.487, 251.957,  666.301, 252.298,  693.725, 252.409,  720.969, 252.140,  748.420, 252.123,  776.009, 252.466,  803.276, 252.127,  830.661, 252.168,  858.273, 252.518,  885.421, 251.825,  913.000, 252.298,  940.754, 252.523,  968.015, 251.966,  995.463, 252.275, 1023.118, 253.008, 1050.470, 252.791, 1077.732, 252.571, 1104.953, 252.382, 1132.327, 252.390, 1159.831, 252.196, 1187.512, 252.142, 1214.951, 252.113, 1242.479, 252.249, 1269.822, 252.502, 1297.108, 252.423, 1324.490, 252.367, 1351.917, 252.320, 1379.277, 252.293, 1406.766, 252.260, 1434.160, 252.290, 1461.735, 252.291, 1489.075, 252.503, 1516.487, 252.497, 1544.024, 252.441, 1571.196, 252.529, 1598.333, 252.833,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
     NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,  446.667, 279.700,  474.183, 279.725,  501.770, 279.768,  529.163, 279.882,  556.418, 279.628,  583.600, 279.370,  610.955, 279.453,  638.906, 279.924,  666.165, 279.647,  693.397, 279.363,  721.266, 279.908,  748.559, 279.776,  775.899, 279.586,  803.535, 280.161,  830.604, 279.592,  858.149, 280.049,  885.515, 279.793,  912.975, 279.571,  940.764, 280.245,  968.182, 279.461,  995.576, 279.762, 1023.060, 280.438, 1050.366, 280.007, 1077.719, 279.756, 1104.935, 279.613, 1132.286, 279.771, 1159.791, 279.801, 1187.409, 279.688, 1214.868, 279.714, 1242.585, 279.682, 1269.888, 279.922, 1297.116, 279.827, 1324.564, 279.715, 1351.825, 279.841, 1379.507, 279.655, 1406.793, 279.911, 1434.264, 279.769, 1461.579, 280.094, 1489.160, 279.970, 1516.506, 280.148, 1543.866, 279.958, 1571.243, 279.832, 1598.701, 279.805, 1626.208, 280.042, 1654.000, 279.833,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN,      NaN,     NaN, 
